Time,S1_SumDelay,S1_TailSumDelay,S2_SumDelay,S2_TailSumDelay,S1_Throughput,S1_Queue,S2_Throughput,S2_Queue,Seed
135,428.46546617540025,246.61210086103077,476.5355126588458,248.01443303532056,55,1,55,0,0
136,437.9728918191028,246.61210086103077,476.5355126588458,248.01443303532056,56,1,55,0,0
137,437.9728918191028,246.61210086103077,476.5355126588458,248.01443303532056,56,0,55,0,0
138,437.9728918191028,246.61210086103077,476.5355126588458,248.01443303532056,56,0,55,0,0
139,437.9728918191028,246.61210086103077,488.286969642558,248.01443303532056,56,0,56,0,0
140,446.7201681002666,256.36986669973226,488.286969642558,248.01443303532056,57,0,56,0,0
141,446.7201681002666,256.36986669973226,488.286969642558,248.01443303532056,57,0,56,0,0
142,446.7201681002666,256.36986669973226,488.286969642558,248.01443303532056,57,0,56,0,0
143,446.7201681002666,256.36986669973226,488.286969642558,248.01443303532056,57,0,56,0,0
144,446.7201681002666,256.36986669973226,488.286969642558,248.01443303532056,57,0,56,0,0
145,446.7201681002666,256.36986669973226,488.286969642558,248.01443303532056,57,0,56,0,0
146,446.7201681002666,256.36986669973226,505.5476669566386,265.2751303494012,57,0,57,0,0
147,446.7201681002666,256.36986669973226,505.5476669566386,265.2751303494012,57,0,57,0,0
148,446.7201681002666,256.36986669973226,505.5476669566386,265.2751303494012,57,0,57,0,0
149,446.7201681002666,256.36986669973226,505.5476669566386,265.2751303494012,57,0,57,0,0
150,446.7201681002666,256.36986669973226,505.5476669566386,265.2751303494012,57,0,57,0,0
151,448.6306764549082,256.36986669973226,505.5476669566386,265.2751303494012,58,0,57,0,0
152,471.1396370031693,269.12106140929177,523.7491103030163,271.0960179185089,59,0,58,0,0
153,471.1396370031693,269.12106140929177,523.7491103030163,271.0960179185089,59,0,58,0,0
154,471.1396370031693,269.12106140929177,523.7491103030163,271.0960179185089,59,0,58,0,0
155,471.1396370031693,269.12106140929177,523.7491103030163,271.0960179185089,59,0,58,0,0
156,471.1396370031693,269.12106140929177,523.7491103030163,271.0960179185089,59,0,58,0,0
157,471.1396370031693,269.12106140929177,523.7491103030163,271.0960179185089,59,0,58,0,0
158,471.1396370031693,269.12106140929177,530.9567837938835,271.0960179185089,59,0,59,0,0
159,471.1396370031693,269.12106140929177,530.9567837938835,271.0960179185089,59,0,59,0,0
160,471.1396370031693,269.12106140929177,530.9567837938835,271.0960179185089,59,0,59,0,0
161,471.1396370031693,269.12106140929177,530.9567837938835,271.0960179185089,59,0,59,0,0
162,471.1396370031693,269.12106140929177,530.9567837938835,271.0960179185089,59,0,59,0,0
163,471.1396370031693,269.12106140929177,541.7884697396898,283.4765736957789,59,0,60,0,0
164,477.7878711377803,278.8788272479933,541.7884697396898,283.4765736957789,60,0,60,0,0
0,0.0,0.0,0.0,0.0,0,0,0,0,1
1,0.0,0.0,0.0,0.0,0,1,0,1,1
2,0.0,0.0,0.0,0.0,0,1,0,1,1
3,0.0,0.0,0.0,0.0,0,2,0,2,1
4,0.0,0.0,0.0,0.0,0,2,0,2,1
5,0.0,0.0,0.0,0.0,0,3,0,3,1
6,0.0,0.0,0.0,0.0,0,3,0,3,1
7,0.0,0.0,0.0,0.0,0,4,0,4,1
8,0.0,0.0,0.0,0.0,0,4,0,4,1
9,0.0,0.0,0.0,0.0,0,5,0,5,1
10,0.0,0.0,0.0,0.0,0,5,0,5,1
11,0.0,0.0,0.0,0.0,0,5,0,5,1
12,0.0,0.0,0.0,0.0,0,4,0,4,1
13,0.0,0.0,0.0,0.0,0,5,0,5,1
14,0.0,0.0,0.0,0.0,0,5,0,5,1
15,0.0,0.0,0.0,0.0,0,6,0,6,1
16,0.0,0.0,0.0,0.0,0,6,0,6,1
17,0.0,0.0,0.0,0.0,0,6,0,6,1
18,0.0,0.0,0.0,0.0,0,6,0,6,1
19,0.0,0.0,0.0,0.0,0,7,0,7,1
20,0.0,0.0,0.0,0.0,0,6,0,6,1
21,0.0,0.0,0.0,0.0,0,6,0,6,1
22,0.0,0.0,0.0,0.0,0,6,0,6,1
23,1.0029453271897175,1.0029453271897175,1.0029453271897175,1.0029453271897175,1,7,1,7,1
24,1.0029453271897175,1.0029453271897175,1.0029453271897175,1.0029453271897175,1,7,1,7,1
25,1.0029453271897175,1.0029453271897175,1.0029453271897175,1.0029453271897175,1,7,1,7,1
26,1.0029453271897175,1.0029453271897175,1.0029453271897175,1.0029453271897175,1,7,1,7,1
27,1.0029453271897175,1.0029453271897175,1.0029453271897175,1.0029453271897175,1,8,1,7,1
28,1.0029453271897175,1.0029453271897175,1.0029453271897175,1.0029453271897175,1,8,1,7,1
29,1.0029453271897175,1.0029453271897175,1.0029453271897175,1.0029453271897175,1,7,1,5,1
30,1.7797868011890865,1.0029453271897175,1.7797868011890865,1.0029453271897175,2,7,2,5,1
31,1.7797868011890865,1.0029453271897175,1.7797868011890865,1.0029453271897175,2,7,2,5,1
32,4.069854850972721,2.2900680497836348,4.069854850972721,2.2900680497836348,3,7,3,5,1
33,4.069854850972721,2.2900680497836348,4.069854850972721,2.2900680497836348,3,7,3,6,1
34,4.069854850972721,2.2900680497836348,4.069854850972721,2.2900680497836348,3,5,3,5,1
35,4.069854850972721,2.2900680497836348,4.069854850972721,2.2900680497836348,3,6,3,5,1
36,4.179146980731535,2.2900680497836348,4.179146980731535,2.2900680497836348,4,6,4,5,1
37,4.179146980731535,2.2900680497836348,4.179146980731535,2.2900680497836348,4,7,4,6,1
38,4.179146980731535,2.2900680497836348,4.179146980731535,2.2900680497836348,4,5,4,6,1
39,7.859810699373089,3.6806637186415534,7.859810699373089,3.6806637186415534,5,4,5,7,1
40,8.69252081523452,3.6806637186415534,7.859810699373089,3.6806637186415534,6,4,5,6,1
41,8.69252081523452,3.6806637186415534,7.859810699373089,3.6806637186415534,6,5,5,7,1
42,8.69252081523452,3.6806637186415534,7.859810699373089,3.6806637186415534,6,5,5,6,1
43,8.69252081523452,3.6806637186415534,9.722699675792304,3.6806637186415534,6,5,6,7,1
44,8.69252081523452,3.6806637186415534,18.878287468931777,12.836251511781027,6,4,7,7,1
45,9.85621674744394,5.970731768425189,18.878287468931777,12.836251511781027,7,5,7,8,1
46,9.85621674744394,5.970731768425189,18.878287468931777,12.836251511781027,7,5,7,8,1
47,9.85621674744394,5.970731768425189,18.878287468931777,12.836251511781027,7,6,7,8,1
48,10.466482744948724,5.970731768425189,19.4396144545177,12.836251511781027,8,5,8,8,1
49,10.466482744948724,5.970731768425189,19.4396144545177,12.836251511781027,8,6,8,7,1
50,10.466482744948724,5.970731768425189,19.4396144545177,12.836251511781027,8,6,8,7,1
51,11.526932662479576,5.970731768425189,19.4396144545177,12.836251511781027,9,7,8,6,1
52,12.90046163066621,7.344260736611822,20.81314342270433,12.836251511781027,10,7,9,6,1
53,12.90046163066621,7.344260736611822,20.81314342270433,12.836251511781027,10,6,9,6,1
54,22.066511948847133,15.136782086606113,30.322662982373902,21.79375441398805,11,6,11,5,1
55,22.066511948847133,15.136782086606113,30.322662982373902,21.79375441398805,11,7,11,6,1
56,23.880454990014467,15.136782086606113,30.322662982373902,21.79375441398805,12,7,11,5,1
57,23.880454990014467,15.136782086606113,30.322662982373902,21.79375441398805,12,7,11,6,1
58,23.880454990014467,15.136782086606113,42.572197858702594,30.3626255716752,12,6,12,5,1
59,48.00472164805053,36.97098069485855,42.572197858702594,30.3626255716752,13,7,12,6,1
60,48.00472164805053,36.97098069485855,47.345979150999,30.3626255716752,13,7,13,6,1
61,53.59341756579855,42.55967661260656,47.345979150999,30.3626255716752,14,8,13,6,1
62,53.59341756579855,42.55967661260656,47.345979150999,30.3626255716752,14,7,13,6,1
63,61.39563137161694,46.681226699783394,47.345979150999,30.3626255716752,15,7,13,7,1
64,70.7322365801893,50.42913599060773,57.09260618259575,40.10925260327195,16,7,14,7,1
65,70.7322365801893,50.42913599060773,57.09260618259575,40.10925260327195,16,7,14,8,1
66,70.7322365801893,50.42913599060773,73.43789899961473,47.49704251808391,16,6,15,8,1
67,70.7322365801893,50.42913599060773,93.4182088182984,59.62600884041177,16,6,17,9,1
68,70.7322365801893,50.42913599060773,93.4182088182984,59.62600884041177,16,6,17,9,1
69,80.69474401888233,60.39164342930077,93.4182088182984,59.62600884041177,17,6,17,8,1
70,80.69474401888233,60.39164342930077,93.4182088182984,59.62600884041177,17,6,17,8,1
71,80.69474401888233,60.39164342930077,93.4182088182984,59.62600884041177,17,6,17,8,1
72,80.69474401888233,60.39164342930077,93.4182088182984,59.62600884041177,17,5,17,8,1
73,80.69474401888233,60.39164342930077,93.4182088182984,59.62600884041177,17,5,17,8,1
74,80.69474401888233,60.39164342930077,101.93684416202557,59.62600884041177,17,5,18,8,1
75,80.69474401888233,60.39164342930077,101.93684416202557,59.62600884041177,17,4,18,8,1
76,80.69474401888233,60.39164342930077,101.93684416202557,59.62600884041177,17,4,18,8,1
77,80.69474401888233,60.39164342930077,101.93684416202557,59.62600884041177,17,5,18,8,1
78,91.12447620368688,63.01916180828692,101.93684416202557,59.62600884041177,18,4,18,8,1
79,91.12447620368688,63.01916180828692,101.93684416202557,59.62600884041177,18,5,18,9,1
80,91.12447620368688,63.01916180828692,101.93684416202557,59.62600884041177,18,5,18,7,1
81,106.86455620940404,69.59319149582316,124.22524708503131,72.75882397027806,19,6,19,8,1
82,110.6266936671676,78.7592418140041,136.73907224216745,84.36327851933497,21,5,21,8,1
83,110.6266936671676,78.7592418140041,136.73907224216745,84.36327851933497,21,6,21,8,1
84,119.59578062262112,78.7592418140041,136.73907224216745,84.36327851933497,22,6,21,8,1
85,119.59578062262112,78.7592418140041,136.73907224216745,84.36327851933497,22,7,21,9,1
86,137.54749149787884,94.85506133389666,190.15580619587683,116.42893089239068,24,7,24,9,1
87,157.23474637931554,105.37626589715244,206.91248387869055,121.05664225287656,25,8,25,9,1
88,174.20817618580332,113.01309049506784,206.91248387869055,121.05664225287656,26,8,25,8,1
89,174.20817618580332,113.01309049506784,247.59463531756785,144.49593152981248,26,9,28,9,1
90,191.25635110751983,130.06126541678435,247.59463531756785,144.49593152981248,27,9,28,9,1
91,191.25635110751983,130.06126541678435,254.2898295084969,144.49593152981248,27,7,29,10,1
92,191.25635110751983,130.06126541678435,254.2898295084969,144.49593152981248,27,6,29,9,1
93,191.25635110751983,130.06126541678435,254.2898295084969,144.49593152981248,27,6,29,10,1
94,196.0818685567843,130.06126541678435,254.2898295084969,144.49593152981248,29,6,29,9,1
95,205.26208572035432,139.39787062535672,254.2898295084969,144.49593152981248,30,6,29,8,1
96,205.26208572035432,139.39787062535672,254.2898295084969,144.49593152981248,30,6,29,8,1
97,205.26208572035432,139.39787062535672,259.87600286781674,156.62489785214035,30,7,30,9,1
98,205.26208572035432,139.39787062535672,259.87600286781674,156.62489785214035,30,7,30,8,1
99,220.6537993758389,145.45297907226887,264.1431852610266,156.62489785214035,31,7,31,9,1
100,230.5675901069676,145.45297907226887,280.40527741047345,160.75802367925928,32,6,32,8,1
101,263.1893653040211,168.11224683062937,280.40527741047345,160.75802367925928,33,6,32,8,1
102,263.1893653040211,168.11224683062937,280.40527741047345,160.75802367925928,33,6,32,6,1
103,263.1893653040211,168.11224683062937,280.40527741047345,160.75802367925928,33,7,32,7,1
104,263.1893653040211,168.11224683062937,295.6189488778082,163.7221602702653,33,6,33,7,1
105,263.1893653040211,168.11224683062937,304.4824266129177,175.97169514659402,33,7,34,8,1
106,263.5816118517808,178.0747542693224,339.82684894717727,199.0665826045248,34,6,35,8,1
107,268.4844760721169,178.0747542693224,339.82684894717727,199.0665826045248,35,7,35,9,1
108,320.9747070103525,226.70141425185776,339.82684894717727,199.0665826045248,37,7,35,8,1
