Time,Seed,Scenario,VehicleID,Route
27,0,S2,0,+1 -1
27,0,S2,1,-2
27,0,S2,2,-12
27,0,S2,3,-4 +14 -14
27,0,S2,4,+9 +5 -9 -5
27,0,S2,5,-6
27,0,S2,6,+7 -7
27,0,S2,7,-8
27,0,S2,8,+10 -10
27,0,S2,9,-11 +13 -13
28,0,S1,0,+1 -1
28,0,S1,1,-7 -10
28,0,S1,2,-12
28,0,S1,3,-4 +2 -2
28,0,S1,4,+9 +5 -9 -5
28,0,S1,5,-6 +14 -14
28,0,S1,6,
28,0,S1,7,-11
28,0,S1,8,+13 -13
28,0,S1,9,
28,0,S2,0,+1 -1
28,0,S2,1,-2
28,0,S2,2,-12
28,0,S2,3,-4 +14 -14
28,0,S2,4,+9 +5 -9 -5
28,0,S2,5,-6
28,0,S2,6,+7 -7
28,0,S2,7,-8
28,0,S2,8,+10 -10
28,0,S2,9,-11 +13 -13
29,0,S1,0,+1 -1
29,0,S1,1,-7 -10
29,0,S1,2,-12
29,0,S1,3,-4 +2 -2
29,0,S1,4,+9 +5 -9 -5
29,0,S1,5,-6 +14 -14
29,0,S1,6,+15 -15
29,0,S1,7,-11
29,0,S1,8,+13 -13
29,0,S1,9,
29,0,S2,0,+1 -1
29,0,S2,1,-2
29,0,S2,2,-12
29,0,S2,3,-4 +14 -14
29,0,S2,4,+9 +5 -9 -5
29,0,S2,5,-6
29,0,S2,6,-7
29,0,S2,7,-8 +15 -15
29,0,S2,8,-10
29,0,S2,9,-11 +13 -13
30,0,S1,0,+1 -1
30,0,S1,1,-7 -10
30,0,S1,2,-12
30,0,S1,3,+2 -2
30,0,S1,4,+9 +5 -9 -5
30,0,S1,5,-6 +14 -14
30,0,S1,6,+15 -15
30,0,S1,7,
30,0,S1,8,+13 -13
30,0,S1,9,
30,0,S2,0,+1 -1
30,0,S2,1,-2
30,0,S2,2,-12
30,0,S2,3,+14 -14
30,0,S2,4,+9 +5 -9 -5
30,0,S2,5,-6
30,0,S2,6,-7
30,0,S2,7,+15 -15
30,0,S2,8,-10
30,0,S2,9,+13 -13
31,0,S1,0,+1 -1
31,0,S1,1,-7 -10
31,0,S1,2,-12
31,0,S1,3,+2 -2
31,0,S1,4,+9 +5 -9 -5
31,0,S1,5,-6 +14 -14
31,0,S1,6,+15 -15
31,0,S1,7,+16 -16
31,0,S1,8,+13 -13
31,0,S1,9,
31,0,S2,0,+1 -1
31,0,S2,1,-2
31,0,S2,2,-12 +13 -13
31,0,S2,3,+14 -14
31,0,S2,4,+5 +9 -9 -5
31,0,S2,5,-6
31,0,S2,6,-7
31,0,S2,7,+15 -15
31,0,S2,8,-10
31,0,S2,9,+16 -16
32,0,S1,0,+1 -1
32,0,S1,1,-7 -10
32,0,S1,2,-12
32,0,S1,3,+2 -2
32,0,S1,4,+9 +5 -9 -5
32,0,S1,5,-6 +14 -14
32,0,S1,6,+15 -15
32,0,S1,7,+16 -16
32,0,S1,8,+13 -13
32,0,S1,9,
32,0,S2,0,+1 -1
32,0,S2,1,-2
32,0,S2,2,-12 +13 -13
32,0,S2,3,+14 -14
32,0,S2,4,+5 +9 -9 -5
32,0,S2,5,-6
32,0,S2,6,-7
32,0,S2,7,+15 -15
32,0,S2,8,-10
32,0,S2,9,+16 -16
33,0,S1,0,+1 -1
33,0,S1,1,-7 -10
33,0,S1,2,-12
33,0,S1,3,+2 -2
33,0,S1,4,+9 +5 -9 -5
33,0,S1,5,-6 +14 -14
33,0,S1,6,+15 -15
33,0,S1,7,+16 -16
33,0,S1,8,+13 -13
33,0,S1,9,+17 -17
33,0,S2,0,+1 -1
33,0,S2,1,-2
33,0,S2,2,-12 +13 -13
33,0,S2,3,+14 -14
33,0,S2,4,+5 +9 -9 -5
33,0,S2,5,-6
33,0,S2,6,-7
33,0,S2,7,+15 -15
33,0,S2,8,+17 -10 -17
33,0,S2,9,+16 -16
34,0,S1,0,-1
34,0,S1,1,-7 -10
34,0,S1,2,-12
34,0,S1,3,+2 -2
34,0,S1,4,+9 +5 -9 -5
34,0,S1,5,-6 +14 -14
34,0,S1,6,+15 -15
34,0,S1,7,+16 -16
34,0,S1,8,+13 -13
34,0,S1,9,+17 -17
34,0,S2,0,-1
34,0,S2,1,-2
34,0,S2,2,-12 +13 -13
34,0,S2,3,+14 -14
34,0,S2,4,+5 +9 -9 -5
34,0,S2,5,-6
34,0,S2,6,-7
34,0,S2,7,+15 -15
34,0,S2,8,-10 -17
34,0,S2,9,+16 -16
35,0,S1,0,-1
35,0,S1,1,-7 -10
35,0,S1,2,-12 +18 -18
35,0,S1,3,+2 -2
35,0,S1,4,+9 +5 -9 -5
35,0,S1,5,-6 +14 -14
35,0,S1,6,+15 -15
35,0,S1,7,+16 -16
35,0,S1,8,-13
35,0,S1,9,+17 -17
35,0,S2,0,-1
35,0,S2,1,-2
35,0,S2,2,-12 +13 -13
35,0,S2,3,+14 -14
35,0,S2,4,+5 +9 -9 -5
35,0,S2,5,-6
35,0,S2,6,-7 +18 -18
35,0,S2,7,+15 -15
35,0,S2,8,-10 -17
35,0,S2,9,+16 -16
36,0,S1,0,-1
36,0,S1,1,-7 -10
36,0,S1,2,-12 +18 -18
36,0,S1,3,+2 -2
36,0,S1,4,+9 +5 -9 -5
36,0,S1,5,-6 +14 -14
36,0,S1,6,+15 -15
36,0,S1,7,+16 -16
36,0,S1,8,-13
36,0,S1,9,+17 -17
36,0,S2,0,-1
36,0,S2,1,-2
36,0,S2,2,-12 +13 -13
36,0,S2,3,+14 -14
36,0,S2,4,+5 +9 -9 -5
36,0,S2,5,-6
36,0,S2,6,-7 +18 -18
36,0,S2,7,+15 -15
36,0,S2,8,-10 -17
36,0,S2,9,+16 -16
37,0,S1,0,-1
37,0,S1,1,-7 -10
37,0,S1,2,-12 +19 +18 -18 -19
37,0,S1,3,+2 -2
37,0,S1,4,+9 +5 -9 -5
37,0,S1,5,-6 +14 -14
37,0,S1,6,-15
37,0,S1,7,+16 -16
37,0,S1,8,-13
37,0,S1,9,+17 -17
37,0,S2,0,-1
37,0,S2,1,-2
37,0,S2,2,-12 +19 +18 -18 -19
37,0,S2,3,-14
37,0,S2,4,+9 +5 -9 -5
37,0,S2,5,-6
37,0,S2,6,-7 +13 -13
37,0,S2,7,+15 -15
37,0,S2,8,-10 -17
37,0,S2,9,+16 -16
38,0,S1,0,-1
38,0,S1,1,-7 -10
38,0,S1,2,+19 +18 -18 -19
38,0,S1,3,+2 -2
38,0,S1,4,-9 -5
38,0,S1,5,+14 -14
38,0,S1,6,-15
38,0,S1,7,+16 -16
38,0,S1,8,-13
38,0,S1,9,+17 -17
38,0,S2,0,-1
38,0,S2,1,-2
38,0,S2,2,+19 +18 -18 -19
38,0,S2,3,-14
38,0,S2,4,-9 -5
38,0,S2,5,
38,0,S2,6,-7 +13 -13
38,0,S2,7,+15 -15
38,0,S2,8,-10 -17
38,0,S2,9,+16 -16
39,0,S1,0,-1
39,0,S1,1,-10
39,0,S1,2,+19 +18 -18 -19
39,0,S1,3,+2 -2
39,0,S1,4,-9 -5
39,0,S1,5,+14 -14
39,0,S1,6,-15
39,0,S1,7,+16 -16
39,0,S1,8,+20 -13 -20
39,0,S1,9,-17
39,0,S2,0,-1
39,0,S2,1,-2
39,0,S2,2,+19 +18 -18 -19
39,0,S2,3,-14
39,0,S2,4,-9 -5
39,0,S2,5,
39,0,S2,6,-7 +13 +20 -13 -20
39,0,S2,7,-15
39,0,S2,8,-10 -17
39,0,S2,9,+16 -16
40,0,S1,0,-1
40,0,S1,1,-10
40,0,S1,2,+19 +18 -18 -19
40,0,S1,3,+2 -2
40,0,S1,4,-9 -5
40,0,S1,5,+14 -14
40,0,S1,6,-15
40,0,S1,7,+16 -16
40,0,S1,8,-13 -20
40,0,S1,9,-17
40,0,S2,0,-1
40,0,S2,1,-2
40,0,S2,2,+19 +18 -18 -19
40,0,S2,3,-14
40,0,S2,4,-9 -5
40,0,S2,5,
40,0,S2,6,-7 +13 +20 -13 -20
40,0,S2,7,-15
40,0,S2,8,-10 -17
40,0,S2,9,+16 -16
41,0,S1,0,-1
41,0,S1,1,-10
41,0,S1,2,+19 +18 -18 -19
41,0,S1,3,-2
41,0,S1,4,-9 -5
41,0,S1,5,+14 -14
41,0,S1,6,-15
41,0,S1,7,+16 -16
41,0,S1,8,-13 -20
41,0,S1,9,+21 -17 -21
41,0,S2,0,-1
41,0,S2,1,-2
41,0,S2,2,+19 +18 -18 -19
41,0,S2,3,-14
41,0,S2,4,-9 -5
41,0,S2,5,+21 -21
41,0,S2,6,-7 +13 +20 -13 -20
41,0,S2,7,-15
41,0,S2,8,-10 -17
41,0,S2,9,+16 -16
42,0,S1,0,-1
42,0,S1,1,-10
42,0,S1,2,+19 +18 -18 -19
42,0,S1,3,-2
42,0,S1,4,-9 -5
42,0,S1,5,+14 -14
42,0,S1,6,-15
42,0,S1,7,+16 -16
42,0,S1,8,-13 -20
42,0,S1,9,-17 -21
42,0,S2,0,-1
42,0,S2,1,-2
42,0,S2,2,+19 +18 -18 -19
42,0,S2,3,-14
42,0,S2,4,-9 -5
42,0,S2,5,+21 -21
42,0,S2,6,-7 +13 +20 -13 -20
42,0,S2,7,-15
42,0,S2,8,-10 -17
42,0,S2,9,+16 -16
43,0,S1,0,-1
43,0,S1,1,-10 +22 -22
43,0,S1,2,+18 -18 -19
43,0,S1,3,-2
43,0,S1,4,-9 -5
43,0,S1,5,+14 -14
43,0,S1,6,-15
43,0,S1,7,+16 -16
43,0,S1,8,-13 -20
43,0,S1,9,-17 -21
43,0,S2,0,-1
43,0,S2,1,-2
43,0,S2,2,+18 -18 -19
43,0,S2,3,-14
43,0,S2,4,-9 -5
43,0,S2,5,+21 -21
43,0,S2,6,-7 +13 +20 -13 -20
43,0,S2,7,-15 +22 -22
43,0,S2,8,-10 -17
43,0,S2,9,+16 -16
44,0,S1,0,-1
44,0,S1,1,-10 +22 -22
44,0,S1,2,+18 -18 -19
44,0,S1,3,-2
44,0,S1,4,-9 -5
44,0,S1,5,+14 -14
44,0,S1,6,
44,0,S1,7,+16 -16
44,0,S1,8,-13 -20
44,0,S1,9,-17 -21
44,0,S2,0,-1
44,0,S2,1,-2
44,0,S2,2,+18 -18 -19
44,0,S2,3,-14
44,0,S2,4,-9 -5
44,0,S2,5,+21 -21
44,0,S2,6,-7 +13 +20 -13 -20
44,0,S2,7,-15 +22 -22
44,0,S2,8,-10 -17
44,0,S2,9,+16 -16
45,0,S1,0,-1
45,0,S1,1,-10 +22 -22
45,0,S1,2,+18 -18 -19
45,0,S1,3,-2
45,0,S1,4,-9 +23 -5 -23
45,0,S1,5,-14
45,0,S1,6,
45,0,S1,7,+16 -16
45,0,S1,8,-13 -20
45,0,S1,9,-17 -21
45,0,S2,0,-1
45,0,S2,1,+23 -2 -23
45,0,S2,2,+18 -18 -19
45,0,S2,3,-14
45,0,S2,4,-9 -5
45,0,S2,5,+21 -21
45,0,S2,6,-7 +13 +20 -13 -20
45,0,S2,7,-15 +22 -22
45,0,S2,8,-10 -17
45,0,S2,9,+16 -16
46,0,S1,0,-1
46,0,S1,1,-10 +22 -22
46,0,S1,2,+18 -18 -19
46,0,S1,3,-2
46,0,S1,4,-9 +23 -5 -23
46,0,S1,5,-14
46,0,S1,6,
46,0,S1,7,+16 -16
46,0,S1,8,-13 -20
46,0,S1,9,-17 -21
46,0,S2,0,-1
46,0,S2,1,+23 -2 -23
46,0,S2,2,+18 -18 -19
46,0,S2,3,-14
46,0,S2,4,-9 -5
46,0,S2,5,+21 -21
46,0,S2,6,-7 +13 +20 -13 -20
46,0,S2,7,+22 -22
46,0,S2,8,-10 -17
46,0,S2,9,+16 -16
47,0,S1,0,-1
47,0,S1,1,-10 +22 -22
47,0,S1,2,-18 -19
47,0,S1,3,-2
47,0,S1,4,-9 +23 -5 -23
47,0,S1,5,-14
47,0,S1,6,
47,0,S1,7,+16 -16
47,0,S1,8,-13 -20
47,0,S1,9,+24 -24 -17 -21
47,0,S2,0,-1
47,0,S2,1,+23 -2 -23
