Time,Seed,Scenario,VehicleID,Occupancy
33,22,S1,3,1
33,22,S1,4,1
33,22,S1,5,3
33,22,S1,6,1
33,22,S1,7,2
33,22,S1,8,4
33,22,S1,9,2
33,22,S2,0,2
33,22,S2,1,3
33,22,S2,2,1
33,22,S2,3,3
33,22,S2,4,1
33,22,S2,5,1
33,22,S2,6,3
33,22,S2,7,2
33,22,S2,8,1
33,22,S2,9,1
34,22,S1,0,1
34,22,S1,1,3
34,22,S1,2,2
34,22,S1,3,1
34,22,S1,4,1
34,22,S1,5,3
34,22,S1,6,1
34,22,S1,7,2
34,22,S1,8,4
34,22,S1,9,2
34,22,S2,0,2
34,22,S2,1,3
34,22,S2,2,1
34,22,S2,3,3
34,22,S2,4,1
34,22,S2,5,1
34,22,S2,6,2
34,22,S2,7,2
34,22,S2,8,1
34,22,S2,9,1
35,22,S1,0,1
35,22,S1,1,3
35,22,S1,2,2
35,22,S1,3,1
35,22,S1,4,1
35,22,S1,5,3
35,22,S1,6,1
35,22,S1,7,2
35,22,S1,8,4
35,22,S1,9,3
35,22,S2,0,2
35,22,S2,1,4
35,22,S2,2,1
35,22,S2,3,3
35,22,S2,4,1
35,22,S2,5,1
35,22,S2,6,2
35,22,S2,7,2
35,22,S2,8,1
35,22,S2,9,1
36,22,S1,0,2
36,22,S1,1,3
36,22,S1,2,2
36,22,S1,3,1
36,22,S1,4,1
36,22,S1,5,3
36,22,S1,6,1
36,22,S1,7,2
36,22,S1,8,2
36,22,S1,9,3
36,22,S2,0,2
36,22,S2,1,4
36,22,S2,2,1
36,22,S2,3,3
36,22,S2,4,1
36,22,S2,5,2
36,22,S2,6,2
36,22,S2,7,2
36,22,S2,8,1
36,22,S2,9,0
37,22,S1,0,2
37,22,S1,1,4
37,22,S1,2,2
37,22,S1,3,1
37,22,S1,4,1
37,22,S1,5,3
37,22,S1,6,1
37,22,S1,7,2
37,22,S1,8,2
37,22,S1,9,3
37,22,S2,0,2
37,22,S2,1,4
37,22,S2,2,1
37,22,S2,3,3
37,22,S2,4,1
37,22,S2,5,2
37,22,S2,6,2
37,22,S2,7,2
37,22,S2,8,1
37,22,S2,9,0
38,22,S1,0,2
38,22,S1,1,4
38,22,S1,2,2
38,22,S1,3,1
38,22,S1,4,0
38,22,S1,5,3
38,22,S1,6,3
38,22,S1,7,2
38,22,S1,8,2
38,22,S1,9,3
38,22,S2,0,2
38,22,S2,1,5
38,22,S2,2,1
38,22,S2,3,3
38,22,S2,4,1
38,22,S2,5,2
38,22,S2,6,3
38,22,S2,7,2
38,22,S2,8,1
38,22,S2,9,0
39,22,S1,0,2
39,22,S1,1,4
39,22,S1,2,2
39,22,S1,3,1
39,22,S1,4,0
39,22,S1,5,3
39,22,S1,6,3
39,22,S1,7,2
39,22,S1,8,2
39,22,S1,9,2
39,22,S2,0,2
39,22,S2,1,5
39,22,S2,2,1
39,22,S2,3,3
39,22,S2,4,1
39,22,S2,5,1
39,22,S2,6,3
39,22,S2,7,2
39,22,S2,8,1
39,22,S2,9,1
40,22,S1,0,2
40,22,S1,1,4
40,22,S1,2,2
40,22,S1,3,1
40,22,S1,4,0
40,22,S1,5,3
40,22,S1,6,3
40,22,S1,7,3
40,22,S1,8,2
40,22,S1,9,2
40,22,S2,0,2
40,22,S2,1,5
40,22,S2,2,1
40,22,S2,3,3
40,22,S2,4,1
40,22,S2,5,1
40,22,S2,6,3
40,22,S2,7,3
40,22,S2,8,1
40,22,S2,9,1
41,22,S1,0,1
41,22,S1,1,4
41,22,S1,2,2
41,22,S1,3,0
41,22,S1,4,1
41,22,S1,5,3
41,22,S1,6,3
41,22,S1,7,3
41,22,S1,8,2
41,22,S1,9,2
41,22,S2,0,2
41,22,S2,1,5
41,22,S2,2,0
41,22,S2,3,3
41,22,S2,4,1
41,22,S2,5,1
41,22,S2,6,4
41,22,S2,7,3
41,22,S2,8,1
41,22,S2,9,1
42,22,S1,0,1
42,22,S1,1,5
42,22,S1,2,1
42,22,S1,3,0
42,22,S1,4,1
42,22,S1,5,3
42,22,S1,6,3
42,22,S1,7,3
42,22,S1,8,2
42,22,S1,9,2
42,22,S2,0,2
42,22,S2,1,4
42,22,S2,2,0
42,22,S2,3,3
42,22,S2,4,0
42,22,S2,5,1
42,22,S2,6,4
42,22,S2,7,3
42,22,S2,8,1
42,22,S2,9,1
43,22,S1,0,2
43,22,S1,1,5
43,22,S1,2,1
43,22,S1,3,0
43,22,S1,4,1
43,22,S1,5,3
43,22,S1,6,3
43,22,S1,7,3
43,22,S1,8,3
43,22,S1,9,2
43,22,S2,0,2
43,22,S2,1,4
43,22,S2,2,0
43,22,S2,3,3
43,22,S2,4,0
43,22,S2,5,0
43,22,S2,6,4
43,22,S2,7,3
43,22,S2,8,1
43,22,S2,9,1
44,22,S1,0,2
44,22,S1,1,5
44,22,S1,2,1
44,22,S1,3,1
44,22,S1,4,1
44,22,S1,5,3
44,22,S1,6,3
44,22,S1,7,3
44,22,S1,8,3
44,22,S1,9,3
44,22,S2,0,2
44,22,S2,1,4
44,22,S2,2,0
44,22,S2,3,2
44,22,S2,4,0
44,22,S2,5,0
44,22,S2,6,4
44,22,S2,7,3
44,22,S2,8,1
44,22,S2,9,2
45,22,S1,0,2
45,22,S1,1,5
45,22,S1,2,1
45,22,S1,3,1
45,22,S1,4,1
45,22,S1,5,3
45,22,S1,6,2
45,22,S1,7,3
45,22,S1,8,3
45,22,S1,9,3
45,22,S2,0,2
45,22,S2,1,4
45,22,S2,2,0
45,22,S2,3,2
45,22,S2,4,1
45,22,S2,5,0
45,22,S2,6,4
45,22,S2,7,3
45,22,S2,8,1
45,22,S2,9,2
46,22,S1,0,2
46,22,S1,1,5
46,22,S1,2,1
46,22,S1,3,1
46,22,S1,4,2
46,22,S1,5,3
46,22,S1,6,2
46,22,S1,7,3
46,22,S1,8,3
46,22,S1,9,3
46,22,S2,0,2
46,22,S2,1,4
46,22,S2,2,0
46,22,S2,3,3
46,22,S2,4,1
46,22,S2,5,0
46,22,S2,6,4
46,22,S2,7,3
46,22,S2,8,2
46,22,S2,9,2
47,22,S1,0,2
47,22,S1,1,4
47,22,S1,2,1
47,22,S1,3,1
47,22,S1,4,2
47,22,S1,5,2
47,22,S1,6,2
47,22,S1,7,4
47,22,S1,8,3
47,22,S1,9,4
47,22,S2,0,1
47,22,S2,1,3
47,22,S2,2,0
47,22,S2,3,3
47,22,S2,4,1
47,22,S2,5,0
47,22,S2,6,4
47,22,S2,7,4
47,22,S2,8,2
47,22,S2,9,2
48,22,S1,0,2
48,22,S1,1,4
48,22,S1,2,1
48,22,S1,3,1
48,22,S1,4,2
48,22,S1,5,2
48,22,S1,6,3
48,22,S1,7,4
48,22,S1,8,2
48,22,S1,9,4
48,22,S2,0,1
48,22,S2,1,3
48,22,S2,2,1
48,22,S2,3,3
48,22,S2,4,1
48,22,S2,5,1
48,22,S2,6,4
48,22,S2,7,4
48,22,S2,8,2
48,22,S2,9,2
49,22,S1,0,2
49,22,S1,1,4
49,22,S1,2,2
49,22,S1,3,1
49,22,S1,4,2
49,22,S1,5,2
49,22,S1,6,3
49,22,S1,7,4
49,22,S1,8,2
49,22,S1,9,4
49,22,S2,0,2
49,22,S2,1,3
49,22,S2,2,1
49,22,S2,3,3
49,22,S2,4,1
49,22,S2,5,1
49,22,S2,6,4
49,22,S2,7,4
49,22,S2,8,3
49,22,S2,9,2
50,22,S1,0,2
50,22,S1,1,4
50,22,S1,2,2
50,22,S1,3,1
50,22,S1,4,3
50,22,S1,5,2
50,22,S1,6,3
50,22,S1,7,4
50,22,S1,8,1
50,22,S1,9,4
50,22,S2,0,2
50,22,S2,1,3
50,22,S2,2,1
50,22,S2,3,3
50,22,S2,4,1
50,22,S2,5,1
50,22,S2,6,5
50,22,S2,7,4
50,22,S2,8,3
50,22,S2,9,2
51,22,S1,0,2
51,22,S1,1,3
51,22,S1,2,2
51,22,S1,3,1
51,22,S1,4,3
51,22,S1,5,2
51,22,S1,6,3
51,22,S1,7,4
51,22,S1,8,1
51,22,S1,9,4
51,22,S2,0,2
51,22,S2,1,3
51,22,S2,2,1
51,22,S2,3,3
51,22,S2,4,1
51,22,S2,5,1
51,22,S2,6,5
51,22,S2,7,4
51,22,S2,8,4
51,22,S2,9,2
52,22,S1,0,2
52,22,S1,1,3
