Demand,Scenario,Seed,Alpha,Avg_Delay,Gini_Delay,Tail_Delay,Avg_Detour,Total_VKT
demand_1x,S1,45,,25.05874373791568,0.4548253189767488,52.47571366674214,1.4570885609242898,805.2647779908899
demand_1x,S2,45,0.8,29.90555200826304,0.318414533705518,48.98711781110141,1.792134015053769,804.5125049829837
demand_1x,S1,46,,25.61214798472397,0.4456980822519893,51.97566060506247,1.3692789003201464,836.9789991909846
demand_1x,S2,46,0.8,26.14077736079031,0.3514483847677454,45.6640672737828,1.6454478688237544,807.9853592489142
demand_1x,S1,47,,24.672588198186507,0.4770822505324197,52.34792826008399,1.4887446788602083,863.7483398347933
demand_1x,S2,47,0.8,28.62748373994683,0.3363411422729703,48.2668489111388,1.5905932136171472,874.4310439773601
demand_1x,S1,48,,26.04993358113628,0.4521671932019853,53.85392629920644,1.454393646775554,848.2129713693224
demand_1x,S2,48,0.8,32.42843704524147,0.3016512800050541,53.01511219178506,1.757582543475766,889.6783783838725
demand_1x,S1,49,,22.48145185258455,0.4944525739673138,49.01655823846948,1.430822769288769,809.0125884376647
demand_1x,S2,49,0.8,26.852750434355052,0.343821834654942,45.831653669619854,1.5782585895208086,799.977034658606
demand_1.25x,S1,0,,30.57988688818524,0.443579032825018,62.29414657719503,1.6221308856817531,903.02174860155
demand_1.25x,S2,0,0.8,35.73922764561355,0.3283257747712356,59.84457490759082,1.8969147539850444,906.3841231968772
demand_1.25x,S1,1,,27.39905015183571,0.4594892301272484,55.82388980165232,1.6734009133329932,830.755316697603
demand_1.25x,S2,1,0.8,32.668136215232295,0.3455556561671691,55.41368046370927,1.6821884410377137,880.8182297776642
demand_1.25x,S1,2,,30.22191657563893,0.4461334195996866,61.311359213571166,1.6448906672279031,873.350677815429
demand_1.25x,S2,2,0.8,35.95310870896829,0.3250879493751968,61.14882562757709,1.829329922398603,899.3656562345303
demand_1.25x,S1,3,,26.806463384885795,0.455155318256335,56.35181501295867,1.540830182639059,833.8799926013713
demand_1.25x,S2,3,0.8,32.07186667289705,0.3140839589933339,51.79829318353102,1.7925830564549248,834.2443857973772
